name,question_1,question_2,question_4,question_5,question_6,question_7,question_8,question_9,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_18,question_19,question_20
hs5692,0,5,0,0,0,0,1,10,10,0,0,10,5,10,10,10,0,10,10
hs7059,0,0,0,0,0,2,7,0,10,0,0,10,10,10,10,10,0,10,0
hs4957,0,10,0,0,0,0,1,0,10,0,0,10,10,7,7,10,0,10,0
hs12029,0,7,0,0,0,0,7,10,10,0,0,10,3,3,5,10,0,10,0
hs14335,0,0,0,0,0,3,7,0,10,0,0,10,10,8,8,10,0,10,0
hs364,0,8,0,0,0,0,7,0,10,0,0,10,10,2,7,10,0,10,0
hs1495,0,9,0,0,0,0,1,0,10,0,0,10,10,1,2,10,0,10,0
hs19154,1,10,0,0,0,0,7,0,10,0,0,10,10,10,10,10,0,10,0
hs10025,0,7,0,0,0,0,7,10,10,0,0,10,3,1,2,10,0,10,0
hs6446,0,10,0,0,0,0,7,0,10,0,0,10,10,3,7,10,0,10,0
hs950,1,9,0,0,0,2,1,0,10,0,0,10,10,2,2,10,0,10,0
hs18378,1,8,0,0,0,0,1,0,10,0,0,10,10,10,10,10,0,10,0
hs19808,0,7,0,0,0,4,1,0,10,0,0,10,10,10,10,10,0,10,0
hs5137,0,6,0,0,0,0,7,0,10,0,0,10,10,10,10,10,0,10,0
hs974,0,0,0,0,0,4,1,0,10,0,0,10,10,0,0,10,0,10,0
hs6932,0,0,0,0,0,0,7,0,10,0,0,10,10,4,5,10,0,10,0
hs12681,0,8,0,0,0,0,7,10,10,0,0,10,2,1,4,10,0,10,0
hs6637,0,0,0,0,0,0,7,0,10,0,0,10,10,2,5,10,0,10,0
hs2368,0,0,0,0,0,10,0,0,10,0,0,10,10,10,10,10,0,10,0
hs18462,0,6,0,0,0,1,1,0,10,0,0,10,10,10,10,10,0,10,0
hs1624,2,9,0,0,0,3,1,0,10,0,0,10,10,1,2,10,0,10,0
hs12136,0,10,0,0,0,1,1,0,10,0,0,10,10,3,5,10,0,10,0
hs3349,0,0,0,0,0,6,0,0,10,0,0,10,10,1,1,10,0,10,0
hs14499,0,3,0,0,0,5,1,0,10,0,0,10,10,5,6,10,0,10,0
hs1985,0,3,0,0,0,5,1,0,10,0,0,10,10,10,10,10,0,10,0
